Drug Type,Country,Year,Best,High,Male,Female,Low,Age,Source,Method,Adjustment,Specific notes,Sub-region,Region
Amphetamines,"China, Hong Kong SAR",2008,0.35,1.11,,,0.07,15-64,Government source,SS,"d, e",,East and South-East Asia,Asia
Amphetamines,"China, Taiwan Province of China",2005,0.6,,,,,12-64,AMCEWG,,,,East and South-East Asia,Asia
Amphetamines,Colombia,2008,0.06,,,,,12-65,ARQ,HHS,,Includes Non medical use of pharmaceutical stimulants,South America,Americas
Amphetamines,Costa Rica,2015,0,,0,0,,12-70,ARQ,HHS,,Amphetamine and methamphetamine,Central America,Americas
Amphetamines,Côte d'Ivoire,2017,0.61,0.9,,,0.31,15-64,UNODC Estimate,SS,d,Methamphetamine,West and Central Africa,Africa
Amphetamines,Croatia,2015,1,,1.6,0.4,,15-64,ARQ,HHS,,Amphetamine,South-Eastern Europe,Europe
Amphetamines,Croatia,2012,0.8,,,,,15-64,EMCDDA,HHS,,,South-Eastern Europe,Europe
Amphetamines,Croatia,2007,0.7,0.83,,,0.58,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Amphetamines,Cyprus,2016,0.1,,0.1,0.1,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Cyprus,2012,0.3,,0.5,0.1,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Cyprus,2009,0.3,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Cyprus,2006,0.4,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Amphetamines,Czechia,2016,0.8,,0.6,1,,15-64,ARQ,HHS,,Methamphetamine,Western and Central Europe,Europe
Amphetamines,Czechia,2015,0.8,,0.7,1,,15-64,ARQ,HHS,,Methamphetamine,Western and Central Europe,Europe
Amphetamines,Czechia,2014,0.8,,1.4,0.2,,15-64,ARQ,HHS,,Methamphetamine,Western and Central Europe,Europe
Amphetamines,Czechia,2013,0.2,0.2,,,0.2,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Czechia,2012,0.5,,0.7,0.3,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Czechia,2010,0.9,,,,,15-64,Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Czechia,2008,1.7,,,,,15-64,Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Denmark,2017,0.7,,1.1,0.4,,16-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Denmark,2013,0.6,,1,0.3,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Denmark,2010,0.7,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Denmark,2008,1.2,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Dominican Republic,2008,0.95,2.59,,,0.04,15-64,ARQ,SS,"d, e, z",,Caribbean,Americas
Amphetamines,Dominican Republic,2003,1.1,,,,,15-64,UNODC Estimate,,"d, e",,Caribbean,Americas
Amphetamines,Ecuador,2007,0.2,,,,,15-64,ARQ,HHS,z*,,South America,Americas
Amphetamines,Ecuador,2005,0.21,,,,,15-64,UNODC Estimate,SS,"d, e , z",,South America,Americas
Amphetamines,Egypt,2006,0.48,0.52,,,0.43,15-64,Govt; Academic Research,"HHS, SS","a, b, d",,North Africa,Africa
Amphetamines,El Salvador,2014,0.38,0.54,0.54,0.23,0.24,12-65,Government Source,HHS,z**,Includes Non medical use of pharmaceutical stimulants,Central America,Americas
Amphetamines,Estonia,2018,0.94,,1.65,0.45,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Estonia,2008,1,,1.3,0.8,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Estonia,2003,1.3,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Finland,2014,1.1,,1.6,0.6,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Finland,2010,0.8,,1.2,0.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Finland,2006,0.6,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Amphetamines,France,2017,0.3,,0.5,0.1,,18-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,France,2014,0.3,,0.4,0.2,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,France,2010,0.2,,0.3,0.1,,15-64,ARQ,,,,Western and Central Europe,Europe
Amphetamines,France,2005,0.2,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Amphetamines,Georgia,2015,0,,0,0,,18-64,ARQ,HHS,,,Central Asia and Transcaucasia,Asia
Amphetamines,Georgia,2009,0.56,1.06,,,0.1,15-64,Government source/ NGO/Academic research,SS,"b, d, e",,Central Asia and Transcaucasia,Asia
Amphetamines,Germany,2018,1.23,,1.51,0.95,,18-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Germany,2015,1.1,1.4,1.3,0.8,0.8,18-64,ARQ/Academic,HHS,,Amphetamine and methamphetamine,Western and Central Europe,Europe
Amphetamines,Germany,2012,0.9,,1.4,0.4,,18-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Germany,2009,0.8,,1.1,0.5,,18-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Germany,2006,0.5,,,,,18-64,Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Greece,2004,0,,0.1,0,,15-64,EMCDDA,,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Grenada,2005,0.7,,,,,15-64,ARQ,,,,Caribbean,Americas
Amphetamines,Guatemala,2005,0.91,,,,,15-64,UNODC Estimate,,"d, e",,Central America,Americas
Amphetamines,Honduras,2005,0.84,,,,,15-64,UNODC Estimate,,"d,e",,Central America,Americas
Amphetamines,Hungary,2015,0.45,,0.82,0.13,,18-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Hungary,2007,0.5,0.8,,,0.2,18-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Iceland,2017,1.4,,1.8,1,,18-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Iceland,2015,0.78,1.34,,,0.21,15-64,ESPAD/UNODC Estimate,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Iceland,2011,0.93,1.57,,,0.29,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Iceland,2003,0.74,0.89,,,0.58,15-64,ESPAD,SS,,,Western and Central Europe,Europe
Amphetamines,India,2018,0.18,,,,,10-75,Government source,HHS/I,,,South Asia,Asia
Amphetamines,Indonesia,2017,0.52,0.58,,,0.45,10-59,UNODC Estimate,HHS,,Estimate for 13 provinces. Includes amphetamine and methamphetamine.,East and South-East Asia,Asia
Amphetamines,Indonesia,2015,0.09,,0.2,0,,10-60,ARQ,HHS,,20 of 34 provinces. Methamphetamine.,East and South-East Asia,Asia
Amphetamines,Indonesia,2010,0.18,,,,,10-60,ARQ,HHS,,,East and South-East Asia,Asia
Amphetamines,Indonesia,2008,0.16,,,,,10-59,ARQ,HHS,,,East and South-East Asia,Asia
Amphetamines,Iran (Islamic Republic of),2015,0.4,,,,,15-64,Government source/UNODC Estimate,HHS,,Methamphetamine,Near and Middle East/South-West Asia,Asia
Amphetamines,Iran (Islamic Republic of),2013,0.77,0.88,,,0.68,18+,Academic/UNODC Estimate,NSUM,a,Methamphetamine,Near and Middle East/South-West Asia,Asia
Amphetamines,Iran (Islamic Republic of),2011,0.7,,,,,15-64,Government source,,,Methamphetamine,Near and Middle East/South-West Asia,Asia
Amphetamines,Ireland,2015,0.3,,0.5,0.1,,15-64,ARQ,HHS,,Amphetamine. Data refers to 2014/15,Western and Central Europe,Europe
Amphetamines,Ireland,2011,0.4,,0.4,0.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Ireland,2007,0.4,,,,,15-64,Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Israel,2016,0.7,,1.3,0.1,,18-65,ARQ,HHS,,Amphetamine,Near and Middle East/South-West Asia,Asia
Amphetamines,Israel,2009,1.01,,1.63,0.31,,18-40,ARQ,HHS,,,Near and Middle East/South-West Asia,Asia
Amphetamines,Israel,2005,0.4,,,,,18-40,ARQ,,,,Near and Middle East/South-West Asia,Asia
Amphetamines,Italy,2017,0.12,,0.14,0.09,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Italy,2013,0.2,,0.3,0.1,,15-64,ARQ,HHS,,Data refers to 2013/2014,Western and Central Europe,Europe
Amphetamines,Italy,2012,0.09,,0.09,0.09,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Italy,2008,0.4,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Jamaica,2010,0.81,1.5,,,0.13,15-64,ARQ,SS,"d, e",,Caribbean,Americas
Amphetamines,Jamaica,2006,1.14,1.91,,,0.39,15-64,Government source,SS,"d, e",,Caribbean,Americas
Amphetamines,Japan,2011,0.3,0.4,,,0.03,15-64,UNODC Estimate,HHS,e,,East and South-East Asia,Asia
Amphetamines,Japan,2009,0.2,0.22,,,0.18,15-64,UNODC Estimate,HHS,e,,East and South-East Asia,Asia
Amphetamines,Kuwait,2005,0.27,,,,,15-64,UNODC Estimate,,g,,Near and Middle East/South-West Asia,Asia
Amphetamines,Lao People's Democratic Republic,2008,1.39,1.71,,,1.07,15-64,Academic research,SS,"a, c, d, e",,East and South-East Asia,Asia
Amphetamines,Latvia,2015,0.3,,0.5,0.2,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Latvia,2011,0.3,,0.5,0.1,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Latvia,2007,0.9,,,,,15-64,ARQ,,,,Western and Central Europe,Europe
Amphetamines,Lithuania,2016,0.3,,0.6,0.04,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Lithuania,2012,0.2,,0.5,0,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Lithuania,2008,0.7,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Lithuania,2004,0.3,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Luxembourg,2014,0.06,,,,,15-64,ARQ/Government source,HHS,,,Western and Central Europe,Europe
Amphetamines,Luxembourg,2010,0.73,1.25,,,0.21,15-64,ARQ,SS,d,,Western and Central Europe,Europe
Amphetamines,Luxembourg,2006,0.98,1.61,,,0.35,15-64,ARQ,SS,d,Data refers to 2005/06,Western and Central Europe,Europe
Amphetamines,Luxembourg,1999,0.4,,,,,15-64,UNODC Estimate,,,,Western and Central Europe,Europe
Amphetamines,Malaysia,2005,0.55,,,,,15-64,UNODC Estimate,,"d, g, h",,East and South-East Asia,Asia
Amphetamines,Maldives,2012,0.1,,,,,15-64,Government source,HHS,,,South Asia,Asia
Amphetamines,Malta,2013,0,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Malta,2011,0.93,1.57,,,0.29,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Malta,2007,0.88,1.16,,,0.59,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Mexico,2016,0.2,,0.3,0.1,,12-65,ARQ,HHS,,Amphetamine,North America,Americas
Amphetamines,Mexico,2011,0.12,0.19,0.2,0.1,0.04,12-65,Government Source,HHS,,,North America,Americas
Amphetamines,Mexico,2008,0.02,,,,,12-65,Government source,HHS,,,North America,Americas
Amphetamines,Montenegro,2017,0.1,,0.2,0.1,,15-64,ARQ,HHS,,Amphetamine type stimulants,South-Eastern Europe,Europe
Amphetamines,Montenegro,2015,0.66,1.04,,,0.28,15-64,ESPAD/UNODC Estimate,SS,"d, e",,South-Eastern Europe,Europe
Amphetamines,Montenegro,2011,0.72,1.25,,,0.19,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Amphetamines,Montenegro,2007,0.45,0.93,,,0.07,15-64,ESPAD,SS,"d, e",,South-Eastern Europe,Europe
Amphetamines,Myanmar,2005,0.22,,,,,15-64,UNODC Estimate,,"d, f",,East and South-East Asia,Asia
Amphetamines,Netherlands,2017,1.8,2.1,2.3,1.2,1.4,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Netherlands,2016,1.7,,2.4,0.9,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Netherlands,2015,1.6,,2,1.1,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Netherlands,2014,1.3,,,,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Netherlands,2009,0.4,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Netherlands,2005,0.3,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,New Zealand,2018,0.8,,1.1,0.5,,16-64,ARQ,HHS,,Data refers to 2017/18.,Australia and New Zealand,Oceania
Amphetamines,New Zealand,2017,1,,1.5,0.6,,16-64,Government source,HHS,,Data refers to 2016/17.,Australia and New Zealand,Oceania
Amphetamines,New Zealand,2016,1.1,,,,,16-64,ARQ,HHS,,Data refers to 2015/16.,Australia and New Zealand,Oceania
Amphetamines,New Zealand,2014,1.1,1.4,1.5,0.7,0.8,15-64,Government source,HHS,,2013/14 New Zealand Health Survey,Australia and New Zealand,Oceania
Amphetamines,New Zealand,2007,2.1,,,,,16-64,Government source,HHS,,,Australia and New Zealand,Oceania
Amphetamines,New Zealand,2006,2.3,,,,,15-64,ARQ,HHS,a,,Australia and New Zealand,Oceania
Amphetamines,Nicaragua,2003,0.76,,,,,15-64,UNODC Estimate,,d,,Central America,Americas
Amphetamines,Nigeria,2017,0.09,1,,,0,15-64,Government/UNODC,HHS/I,,Methamphetamine,West and Central Africa,Africa
Amphetamines,Nigeria,2008,1.4,2.01,,,0.71,15-64,ARQ,HHS,"a, b, e",,West and Central Africa,Africa
Amphetamines,Nigeria,1999,1.05,,,,,,UNODC Estimate,,,,West and Central Africa,Africa
Amphetamines,North Macedonia,2017,0.06,,0.08,0.04,,15-64,ARQ,HHS,,Amphetamine. UNODC best estimate based on ARQ data on prevalence of male and female,South-Eastern Europe,Europe
Amphetamines,North Macedonia,2015,0.33,0.53,,,0.14,15-64,ESPAD/UNODC Estimate,SS,"d, e",,South-Eastern Europe,Europe
Amphetamines,Norway,2018,0.7,,1.1,0.1,,16-64,ARQ,HHS,,Includes methamphetamine,Western and Central Europe,Europe
Amphetamines,Norway,2017,0.6,,0.8,0.4,,16-64,ARQ,HHS,,Includes methamphetamine,Western and Central Europe,Europe
Amphetamines,Norway,2016,0.3,,0.3,0.4,,16-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Norway,2015,0.2,,0.3,0,,16-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Norway,2014,0.6,,0.9,0.2,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Norway,2013,0.6,,1.2,0.1,,16-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Norway,2009,0.7,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Norway,2004,1.1,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Pakistan,2012,0.08,0.2,0.1,0.14,0.04,15-64,Government source/UNODC,HHS/I,z*,Includes Non medical use of pharmaceutical stimulants,Near and Middle East/South-West Asia,Asia
Amphetamines,Panama,2003,1.2,,,,,12-65,CICAD,HHS,z,,Central America,Americas
Amphetamines,Paraguay,2005,0.51,,,,,15-64,UNODC Estimate,SS,"d, e, z",,South America,Americas
Amphetamines,Peru,2006,0.2,,,,,12-64,ARQ,HHS,,,South America,Americas
Amphetamines,Philippines,2016,1.1,,,,,10-69,ARQ,HHS,,Methamphetamine. Data refers to 2015/16.,East and South-East Asia,Asia
Amphetamines,Philippines,2012,0.74,,,,,10-69,ARQ,HHS,,Methamphetamine. Data refers to 2012/13. 17 of 18 regions.,East and South-East Asia,Asia
Amphetamines,Philippines,2008,2.13,2.35,,,1.91,15-64,Government source,HHS,"c, e",,East and South-East Asia,Asia
Amphetamines,Poland,2019,0.8,,0.9,0.7,,15-64,ARQ,HHS,,Data refers to 2018/19,Western and Central Europe,Europe
Amphetamines,Poland,2016,1.7,,1.8,1.5,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Poland,2014,0.2,,0.3,,,15-64,ARQ,HHS,,Data refers to 2014/2015,Western and Central Europe,Europe
Amphetamines,Poland,2012,0.6,,0.8,0.3,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Poland,2010,1.9,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Poland,2006,0.7,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Portugal,2017,0,,0,0,,15-64,ARQ,HHS,,Data refers to 2016/2017. Amphetamine. Values under 'Best' and 'Male' rounded to 2 decimal places.,Western and Central Europe,Europe
Amphetamines,Portugal,2012,0.05,,0.1,0,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Portugal,2007,0.2,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Puerto Rico,2005,0.43,1.06,,,0.13,15-64,Government source,SS,"d, e",,Caribbean,Americas
Amphetamines,Republic of Korea,2004,0.12,0.16,,,0.08,15-64,ARQ,HHS,"b, c, e",,East and South-East Asia,Asia
Amphetamines,Republic of Moldova,2008,0.03,0.04,,,0.03,15-64,Government source,HHS,e,,Eastern Europe,Europe
Amphetamines,Romania,2016,0.1,,0.1,0,,15-64,ARQ,HHS,,Amphetamine,South-Eastern Europe,Europe
Amphetamines,Romania,2013,0.1,,0.1,0.1,,15-64,ARQ,HHS,,Amphetamine,South-Eastern Europe,Europe
Amphetamines,Romania,2010,0.03,,,,,15-64,EMCDDA,HHS,,,South-Eastern Europe,Europe
Amphetamines,Romania,2004,0.1,,,,,15-64,UNODC Estimate,,"d, e",,South-Eastern Europe,Europe
Amphetamines,Russian Federation,2007,0.39,0.56,,,0.22,15-64,ESPAD/UNODC Estimate,SS,"d, e",Approximate adjustment,Eastern Europe,Europe
Amphetamines,Saudi Arabia,2006,0.4,,,,,15-64,UNODC Estimate,,g,,Near and Middle East/South-West Asia,Asia
Amphetamines,Serbia,2014,0.1,,0.2,0.1,,18-64,Government sources,HHS,,,South-Eastern Europe,Europe
Amphetamines,Serbia,2006,0.24,0.47,,,0.12,15-64,Government sources,HHS,"a, e",,South-Eastern Europe,Europe
Amphetamines,Slovakia,2015,0.4,,0.7,0.1,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Slovakia,2010,0.12,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Slovakia,2006,0.3,,,,,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Slovakia,2004,0.2,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Slovenia,2012,0.3,,0.5,0.1,,15-64,ARQ,HHS,,Amphetamine,Western and Central Europe,Europe
Amphetamines,Slovenia,2011,0.72,1.25,,,0.19,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Slovenia,2007,0.51,0.57,,,0.45,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,South Africa,2008,1.02,1.37,,,0.75,15-64,ARQ,HHS,"a, e",,Southern Africa,Africa
Amphetamines,Spain,2017,0.5,0.6,0.8,0.2,0.4,15-64,EMCDDA,HHS,,,Western and Central Europe,Europe
Amphetamines,Spain,2015,0.58,,0.86,0.31,,15-64,Government source/UNODC Estimate,HHS,,Amphetamine and methamphetamine,Western and Central Europe,Europe
Amphetamines,Spain,2013,0.6,,0.8,0.4,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Spain,2011,0.6,,0.9,0.3,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Spain,2009,0.6,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Suriname,2007,0.5,,,,,12-65,CICAD,HHS,,,South America,Americas
Amphetamines,Suriname,2002,0.6,,,,,15-64,UNODC Estimate,,"d, e",,South America,Americas
Amphetamines,Sweden,2017,0.7,,,,,17-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Sweden,2013,0.72,,0.96,0.47,,17-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Sweden,2008,0.8,,,,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Sweden,2007,0.39,,,,,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Switzerland,2016,0.32,0.34,,,0.3,15-64,UNODC Estimate,HHS,a,"Speed, amphetamine sulphate, crystal meth, other amphetamines",Western and Central Europe,Europe
Amphetamines,Switzerland,2015,0.43,0.5,,,0.36,15-64,UNODC Estimate,HHS,a,"Speed, amphetamine sulphate, crystal meth, other amphetamines",Western and Central Europe,Europe
Amphetamines,Switzerland,2013,0.27,,0.29,0.26,,15-64,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Switzerland,2012,0.08,0.09,,,0.08,15+,ARQ,HHS,,,Western and Central Europe,Europe
Amphetamines,Switzerland,2007,0.63,0.69,,,0.57,15-64,ESPAD,SS,"d, e",,Western and Central Europe,Europe
Amphetamines,Thailand,2019,1.67,2.04,,,1.3,15-64,Government source/UNODC Estimate,HHS,,Methamphetamine tablets and crystal methamphetamine,East and South-East Asia,Asia
Amphetamines,Thailand,2007,1.4,,,,,12-65,ARQ,HHS,,,East and South-East Asia,Asia
Amphetamines,Trinidad and Tobago,2006,0.7,1.38,,,0.23,15-64,UNODC Estimate,SS,"d, e, z",,Caribbean,Americas
Amphetamines,Trinidad and Tobago,2002,0.78,,,,,15-64,UNODC Estimate,,"d, e",,Caribbean,Americas
Amphetamines,Turkey,2018,0.02,,0.04,0.01,,15-64,ARQ,HHS,,Methamphetamine,South-Eastern Europe,Europe
